title,presenters,description,materials,date,length,url,subtitle
The Directory of APIs,Dave Perhne Aws Al-Attar,"Enter the Future of ITS where developers pull together the building blocks provided by the U-M Directory of Application Program Interface (API) - a set of routines, protocols and tools for building software applications in a consistent manner. Analysts will be engaged in ensuring similar look and feel for our users and creating innovative solutions. Dave Perhne and Aws Al-Attar will be demoing and explaining the use of WSO2 products to manage our API Directory, the Data Services Server and Enterprise Service Bus!",,10/22/2013,0:45:00,http://univofmichigan.adobeconnect.com/p4t0vdl0esi/,
Flavors of Agile,Tom Amerman Camille Cooper Dave Jamison Michael Sheppard Sam Solovyev,,https://docs.google.com/a/umich.edu/viewer?a=v&pid=sites&srcid=dW1pY2guZWR1fGFpcy1mb3J1bXxneDozMDdkYjkxMzE3ZWZlM2M5 [Presentation Slides],9/16/2013,0:51:48,http://univofmichigan.adobeconnect.com/p1y86xmwpwi/,
Cloud Computing @ U-M,Bill Wrobleski,,,7/15/2013,0:49:30,http://univofmichigan.adobeconnect.com/p2hd9ovjq4i/,
Get More Done with U-M Google!,Ryan Vis,,,6/17/2013,0:56:15,http://univofmichigan.adobeconnect.com/p1onmkbtafj/,
ITS Mobile Strategy,"Mashon Allen, ITS Mobile Strategy Overview Mark McManamay, Kuali Dave Perhne, Dir of APIs & ESB Ted Stebbins, Mobile on campus",,,5/20/2013,0:53:44,http://univofmichigan.adobeconnect.com/p3zyfuxcyy6/,
HEUG Panel,Lisa Emery Elaine Nowak Nadeem Zaidi Chris Fillmore Jeanne Horvath,What new features and technology will be coming up in PeopleSoft applications?,http://www.mais.umich.edu/WebConferencing/downloads/AIS_Forum-April-2013-HEUG-Panel.pptx [Presentation Slides],4/15/2013,0:47:04,http://univofmichigan.adobeconnect.com/p1ve2jiwte7/,
Customer Relations is ITS' New EARS!,Phil Ray,The better way to hear what our customers want from us.,,3/18/2013,0:55:07,http://univofmichigan.adobeconnect.com/p5nv0x0acve/,
A Bird's Eye View of Oracle's Exadata and PeopleSoft's XML Publisher,Carol Dacko Darryl Christensen,,,2/25/2013,0:55:07,http://univofmichigan.adobeconnect.com/p27sp05qexg/,
.NET and Java,Tom Amerman,,,1/28/2013,0:55:05,http://univofmichigan.adobeconnect.com/p1w3kujd976/,
Introducing Informatica and Tips for PeopleSoft's Scheduled Queries,Fusen Li of Enabling Tecnologies Janine Hartman,,,11/12/2012,0:55:20,http://univofmichigan.adobeconnect.com/p75dwo4m3sz/,
MCommunity: Data and Uses,Liz Salley,,http://www.mais.umich.edu/WebConferencing/downloads/AIS-Forum-MCommunity-2012-10-15.pptx [Presentation Slides],10/15/2012,0:58:49,http://univofmichigan.adobeconnect.com/p459tg5blnb/,
Tips for SQL Developer 2.1,Nancy Tietz,,,9/18/2012,0:25:41,http://univofmichigan.adobeconnect.com/p9b0jkt5twu/,
How we can do positive things for persons with disabilities,"Jane Berliss-Vincent, U-M Assistive Technology Lead",,,9/18/2012,0:22:02,http://univofmichigan.adobeconnect.com/p5778f7tkvq/,
PeopleSoft Integration Broker (IB),Brandy Wood and Dave Novara,"Due to technical difficulties, the recording starts in the middle of the presentation. Please refer to the isEmployeeDemo document with the recording.",,7/23/2012,0:30:32,http://univofmichigan.adobeconnect.com/p3xh2csnluv/,
Summary of U-M Box more than just a floppy!,Mandie Chapman,,,6/18/2012,0:20:14,http://univofmichigan.adobeconnect.com/p92i9oml6sx/,
Architecture & AIS,Dave Perhne and Kyle Kerbawy,,,6/18/2012,0:33:36,http://univofmichigan.adobeconnect.com/p65xsjzaac7/,
Atlassian Paring,David Jamison,,,5/21/2012,0:02:02,http://www.youtube.com/watch?v=dYBjVTMUQY0&rel=0,
Jira Presention,David Jamison,,,5/21/2012,0:09:59,http://univofmichigan.adobeconnect.com/p3rsvr8agfc/,
Kauli Mobility Enterprise,Mark McManamay,,,5/21/2012,0:44:17,http://univofmichigan.adobeconnect.com/p64iqu9id4g/,
People Tools 8.52 Upgrade,Brian Mcrae and Jayamurali Nair,,,4/16/2012,0:32:25,http://univofmichigan.adobeconnect.com/p8vrsv4h1hc/,
People Tools 8.52 Upgrade,Jeanne Horvath and Adnan Kandah,,,4/16/2012,0:20:56,http://univofmichigan.adobeconnect.com/p3dz77bnhob/,
Networks and How DUO and Other Cloud Apps Work,"Martin Sager, Vasilios Pliakas, Dan Eklund - ITS Infrastructure",,https://docs.google.com/presentation/d/12b__kLQ0vn8MF-kxilzwBs1OcSquBn6sklYUg1IFdoc/edit#slide=id.g23068e9404_0_96 [Presentation Slides],6/19/2017,0:45:14,https://bluejeans.com/s/K2dFB,
Google Topics! Top Requested Google Topics!,Eric Fruth and the ITS Collaboration Services team,"Eric Fruth and the ITS Collaboration Services team Eric will cover the new U-M Google service site and learning resources, gmail security features, and Google Forms!",https://docs.google.com/document/d/1lRLOdGidAkqj2xSTuGHl84JvjGCg59-EC8DlGwWMjSM/edit [Presentation Slides],9/18/2017,0:56:00,https://bluejeans.com/playback/s/Nb6w4BJa7r1jMAyCukHhptUU6dNlJj3V1WcUDcb3TTdW5ZLZJUiUqkf72oC8Riag#,
Atlassian JIRA - a Panel of Experts,"Michael Sheppard (ITS Information Quest), Sheetal Sonar (ITS EAS DART), Jennifer Love (ITS Teaching & Learning), Gonzalo Silverio (ITS Teaching & Learning), Natalie Eglinton (ITS EAS HCM)",,https://docs.google.com/presentation/d/1iVmpvZ0Utb9PrAgfnR4VsZSZ-wDF_5bePgHd43YGgCk/edit#slide=id.g28ed73765a_0_0 [Presentation Slides],10/23/2017,0:45:47,https://umich.bluejeans.com/playback/s/SguHry0UTqC1jKLB3Op5lnqqkd61GieKMK7XOGjFeOr8wuh6NbaZFLOOEg5QxSXh,Learn from the experts how to track our work smarter in Atlassian's JIRA product!
Google Team Drives & ITS Cloud Services Expansion Project,Jen Mruk Mark Personett,Jen Mruk from ITS Infrastructure on Google Team Drives. Mark Personett from ITS Cloud Compute Services with a Status Update of the ITS Cloud Services project.,https://docs.google.com/a/umich.edu/presentation/d/1JHL_D040V17R8NhVMRwRSXqAlojHgmjTnwgyvEqpyoc/edit?usp=sharing [Google Team Drives] [Google Team Drives] https://docs.google.com/presentation/d/1-Xu34wkOcWEN8_eXp55hhUna0-qwSQ4yMDYwOV0GRtw/edit#slide=id.g18547b4d56_1_33 [ITS Cloud Services Expansion Project] [ITS Cloud Services Expansion Project],11/13/2017,0:40:02,https://bluejeans.com/s/fshd@/,
,,,,,,,
,,,,,,,
