Name,Work Description,Work Status,Effort Percent Complete,Actual/Schedule Finish,Manager Assessment,Execution Project Manager,Customer,Service Portfolio Owner/ Exec Sponsor
FIN-UMHS VMI - Inventory,UMHS has received approval to move forward with their Value Margin Initiative (VMI) for Supply Chain Processes.  Three items related to this multifaceted effort involve technology components.  Deliverables for this effort are closely tied to the FIN 9.2 upgrade. The 9.2 steering committee has reviewed and approved the effort to run in parallel with this project.,Open/Approved,3,9/26/2017,Green,"Little,Cristine Lynn",U-M Health System,"Behm,Jim"
FIN - Asset Mgmt Internal Audit Changes,"U-M Internal Audits completed an audit of the Asset Management business process and suggested the following system changes to be made: 1) segregation of asset mgmt system roles, 2) an audit trail on certain functions and 3) adding a date time stamp to the tag field. ITS needs to assist in the investigation and and review of the findings and give feedback on best course of action for system changes. ",Open/Approved,62,3/31/2017,Green,"Tuttle,Ann",OAVP Finance,"Behm,Jim"
RAS: Deployment Automation,Develop an efficient and repeatable process of delivery of Research Administration product features,Open/Approved,53,12/22/2017,Green,"Solovyev,Sam",ITS,"Behm,Jim"
SA - 1098-T Tax Reporting Method Change,"A form 1098-T, Tuition Statement, is used to help figure education credits (and potentially, the tuition and fees deduction) for qualified tuition and related expenses paid during the tax year. Effective 2016, a new checkbox will be to the form for the purpose of certifying under penalty of perjury that your financial institution has complied new rules related to obtaining your SSN, ITIN or other identifying number. We must comply.",Open/Approved,0,10/11/2017,Green,"Robson,Brian",Academic Affairs,"Behm,Jim"
FIN: ePro enhancements,ePro enhancements deferred for delivery after completion of the 9.2 upgrade.,Open/Approved,50,4/7/2017,Green,"Skelding,Brian",OAVP Finance,"Behm,Jim"
HCM - LMS Evaluation PLANNING,Evaluate LMS marketplace vendors and prep RFP.,Open/Approved,0,6/19/2017,Green,"Eglinton,Natalie",ITS,"Behm,Jim"
SA: Campus Solutions Modernization,"After the 9.0 release of PeopleSoft Campus Solutions, Oracle transitioned to a “continuous release” model for new and expanded application functionality.  Instead of a major version release, requiring a software upgrade to remain in vendor support, Oracle moved to incremental “feature pack” releases.  Since UM upgraded to 9.0 (June, 2008) ITS Student Administration has applied the feature packs but has not been resourced to take advantage of extensive additions, expanded functionality, and new product areas incrementally delivered and include in the existing Campus Solutions license.  Many of the new features will provide significant value to UM and have been long-sought additions to the functionality.  Currently nineteen high-valued areas of new functionality have been released by Oracle but not implemented by UM.  This project will assess those features and implement the ones that will bring value to the University.",Open/Approved,97,3/31/2017,Yellow,"Palmby,Brian","Provost's Office, President's Office, the VP/Secr","Behm,Jim"
HCM - eRecruit Enhancements,"Implement eRecruit project enhancement requested since go-live in June, 2015.  This effort was previously agreed upon as part of the SSC Capital request, however the work will be done as absorbed now and not capital-funded.",Open/Approved,47,7/14/2017,Green,"Eglinton,Natalie",Human Resources,"Behm,Jim"
HCM - PAR Enhancements,"Implement PAR project enhancement requested since go-live in June, 2015.  This effort was previously agreed upon as part of the SSC Capital request, however the work will be done as absorbed now and not capital-funded.",Open/Approved,96,3/17/2017,Green,"Eglinton,Natalie",Human Resources,"Behm,Jim"
HCM - Health System Scheduling & Time Attendance,"This project's objectives are to establish standard work processes for efficient scheduling and timekeeping. Project scope includes process improvement, leveraging existing technology where possible and separating out the Scheduling component.",Open/Approved,87,1/30/2018,Green,"Little,Cristine Lynn",U-M Health System,"Behm,Jim"
FIN: Project Grant & Shortcode File Attach Uploads,ITS manually runs scripts weekly to update information pertaining to project grants and shortcodes. This request comes from the Shared Service Center. ITS would create two new file attach uploads so that the SSC could automatically do the changes without the assistance from ITS-FIN.,Open/Approved,53,4/12/2017,Green,"Tuttle,Ann",Shared Services Center (SSC),"Behm,Jim"
Faculty Interface POC,"Mission-aligned development of a global portal focused on findability and flexibility per IT Strategic Plan. Foundational to B&F FY16 priority #26 about creating role-based portals.

UPDATE 2016: This has pivoted to encompass building a faculty-focused interface to aid findability and usability of administrative, academic, and research tasks. This will leverage global portal strategy and will assist in making decision for portal framework.

",Open/Approved,31,6/5/2017,Green,"Burns,Will",ITS,"Behm,Jim"
Implement Job Scheduling Solution,"Objective:  RFP, purchase and implement a Unicenter replacement using the strategy identified as part of the planning project.",Open/Approved,34,5/19/2017,Yellow,"Przybylski,Janet",ITS,"Behm,Jim"
ERP Modernization Strategy,"Our current ERP solutions are over 15 years old and aging with respect to newer solutions. They are increasingly brittle systems, resulting in costly maintenance and upgrades, which do not leave resources to work on new features and functionality. This results in unmet needs and system fragmentation as units pursue their own solutions.

We are in need of a long-term vision and roadmap that will drive and inform decisions regarding the future of U-M’s ERP environment. However, we lack knowledge of the current ERP product landscape and we lack understanding of our customer needs and desires in respect to ERP systems.

This project will develop a comprehensive roadmap for modernizing enterprise applications, which will be used to gain a business sponsor and campus engagement to move forward.",Open/Approved,16,6/28/2017,Green,"Burch,Jennifer",ITS,"Behm,Jim"
DART Scheduling Transition,"PCI changes made unicenter no longer a viable batch scheduling solution for DART.  Due to the complexity of system integration, infrastructure settings and rules for external systems connected to DART PCI enclave, the direction is to implement Blackbaud scheduler for DART.",Open/Approved,0,4/14/2017,Green,"Solovyev,Sam",,"Behm,Jim"
Metro Health: GL interface,Phase I integration of the financial system changes necessary for the UMHS merger with Metro Health of Grand Rapids.,Open/Approved,52,6/1/2017,Green,"Rose,Holly A",U-M Health System,"Behm,Jim"
RAS: XProd - Data Normalization,"This project is across all eRAS Click Projects.  This effort will standardize some of the tables and population of the tables.  Scope includes: Key matching (OIDS),  Person Table, Org/Dept Table, Sponsor Table.  This will correct some inconsistencies, and provide the foundation for better integrated reporting, and other integrations in general (like MIDAR)",Open/Approved,36,9/29/2017,Green,"Cooper,Camille B",ITS,"Behm,Jim"
RAS: MIDAR Planning FY1805,"See main project

As a premier research institution with annual expenditures of $1.3 billion, the U-M research enterprise currently relies on a suite of information systems and databases with very little interconnectivity.  

The Michigan Informational Dashboard for the Administration of Research (MIDAR) project will address critical deficiencies in the U-M research IT systems and oversight of U-M laboratory safety program.  For the first time, the MIDAR project will integrate many of the University’s existing administrative systems and layer a new user interface experience over them that researchers and project teams can use as a “one stop shop” for their research administration business (the “Dashboard”). In addition, the project will address the most critical deficiencies identified in the report on general laboratory safety from University Audits by improving the accuracy and timeliness of laboratory inspections.  Compliance/safety monitors will make use of a variation of the “one stop shop” user experience, along with an estimate of ~200 handheld devices and apps to input and retrieve the various data points critical to lab safety and compliance.",Open/Approved,68,6/30/2017,Green,"Handyside,Cathy",OVP Research,"Behm,Jim"
DART-Phase 2 Implement Other Deferred Modules,This is the umbrella linkage request for all five of the DART Phase 2 subprojects.,Open/Approved,96,6/6/2017,Green,"Diglio,Lisa",Development,"Behm,Jim"
HCM - PeopleTools 8.55 Upgrade,"This is a request to upgrade HCM PeopleTools to version 8.54.  The FIN and CS systems already have projects to upgrade their tools to 8.54, HCM needs to stay in sync.",Open/Approved,78,4/14/2017,Green,"Burch,Jennifer",ITS,"Behm,Jim"
FIN: American Express Integration,"The University of Michigan is partnering with American Express (AMEX) to enable electronic payments to vendors.  In order to  do so an integration is needed between M-Pathways Financials and AMEX.  The integration will provide required payment information in the agreed to format.  Additionally, business process and other system changes will also be required.",Open/Approved,41,4/28/2017,Green,"Skelding,Brian",OAVP Finance,"Behm,Jim"
SA - Coalition Admissions Application Load,"The University of Michigan - Office of Enrollment Management joined a new admissions application service, The Coalition, which requires that we accept Coalition applications in the Fall of 2017. 
We will load the data via the new PALM process.",Open/Approved,18,9/29/2017,Yellow,"Palmby,Brian",Academic Affairs,"Behm,Jim"
Incident Response Capability Update Project,Project will focus on development and implementation of processes and practices for Incident Response (IR) to utilize new capabilities implemented as part of Next Generation Security Architecture (NGSA) project.  IR runbook will be updated.   Staffing will absorbed within IIA and will be dependent on the availability of NGSA components procured and implemented through phases 1 & 2 of the NGSA project though this project can proceed when NGSA phase 1 related technologies have been procured and implemented.,Open/Approved,23,6/30/2017,Green,"Stathes,Gregory",ITS,"Bermann,Sol"
Web Directory Application Refactoring,"This project will complete the work done in the Web Directory Redesign and make MCommunity beta fully functional in order to replace the old MCommunity Directory application.  The work includes building out the remaining person and group functionality, planning the cutover, security review, load testing,and communicating the change to campus.",Open/Approved,75,5/5/2017,Green,"Horvath,Jeanne L",ITS,"Bermann,Sol"
EIAM: Account Lifecycle Optimization (ALO),We will deliver better coordination in business processes and workflow. We will enable more efficient processes for removing someone’s access when they leave the university (offboarding) or change roles. This is a particularly big risk for Campus as the offboarding process is so distributed. We will also address a current painpoint that onboarding requires many different requests to different groups to ensure someone has all the access they need to start their job.,Open/Approved,2,2/28/2018,Green,"King,Earnest",ITS,"Bermann,Sol"
EIAM: Social Login Pilot," We will deliver the ability to access low-risk U-M services by utilizing some form of external identity such as Facebook, LinkedIn, and other social media/external account. This will help us replace the old Friend system infrastructure, simplify the login process for parents and donors who now rely on Friend accounts, and reduce support call volume.",Open/Approved,8,6/30/2017,Yellow,"Swaney,Jennifer",ITS,"Bermann,Sol"
FY1712: Next Generation Security Architecture PH1,"The cyber threat to research universities has become increasingly sophisticated and more active. U-M will adopt a new strategy and this request funds the technologies to implement that strategy. This is a combination of advanced detection and protection technology. It will cover U-M as a whole while focusing on enclaves with sensitive information. Key deliverables for phase 1 are:
1) Next Gen Firewall (NGFW) with integrated Threat Intelligence Services
2) Security Information & Event Management (SIEM) Upgrade
3) Peakflow Replacement - Netflow Analysis Tool (NFAT).",Open/Approved,26,6/30/2017,Yellow,"Meister,Michael",ITS,"Bermann,Sol"
IT Security Policy (601.27) and Standards Update,"This project will focus on updating the campus Information Security Policy (SPG 601.27) to reflect current and prospective cybersecurity challenges and threats to U-M information systems and sensitive data.  Alan Levy will be the lead for the SPG revision effort. 

As SPG 601.27 is revised, supporting standards will be identified and created as needed. It is estimated that approximately 15-20 new standards will be created as a result of this effort. Individuals throughout IIA will be involved in the creation and revision of these standards.",Open/Approved,86,6/30/2017,Green,"Stathes,Gregory",ITS,"Bermann,Sol"
FY17 Build DR Plans for ITS High Priority Systems,"The goal of this project is to continue to re-establish basic disaster recovery (DR) capabilities for high priority university systems that are managed by ITS. 

DR plans will be completed for identified high priority systems/applications. DR Plans will be developed for scenarios involving a hacking attack and the destruction of a system's hardware/infrastructure.  Each DR plan will have steps for response and resumption phases.

A DR tabletop exercise will be planned and executed and system recovery from back-up media should be exercised for at least one ITS system.",Open/Approved,43,6/30/2017,Green,"Stathes,Gregory",ITS,"Bermann,Sol"
EIAM: Role & Access Management Project,"The Health System has implemented role-based access control for some systems, but there is no university-wide solution. We will model base roles, such as staff, faculty, researcher, etc. We will select and pilot Role Management software solution to enable the development and management of roles at University and unit levels.",Open/Approved,9,6/29/2018,Green,"Swaney,Jennifer",ITS,"Bermann,Sol"
FY1617: Multifactor Authentication Expansion,"The University of Michigan has recently been the victim of a number of phishing scams. Phishing is the attempt to acquire sensitive information such as usernames and passwords by masquerading as a trusted entity in an e-mail. Today, the University uses SecurID from RSA as its two-factor authentication system for users that need access to sensitive information or systems. The current RSA product is limited in its functionality. The University could increase the adoption of two-factor authentication among faculty, staff, and students by offering a wider range of two-factor authentication methods, which will lead to a more secure environment.

This investment request is a proposal to replace the University’s RSA two-factor authentication solution with Duo. The project will include:
*Conducting a fit/gap analysis in preparation for redeployment using Duo;
*Developing a project plan to transition the 17,000 RSA users to Duo; 
*Marketing the new product to campus; and
*Decommissioning RSA.",Open/Approved,79,12/22/2017,Green,"King,Earnest",ITS,"Bermann,Sol"
Flint Access and Compliance Improvement,Currently Flint uses a paper process to assure that Flint employees sign Access and Compliance annually.  This request is to add a filter to Employee Self Service to require online attestation annually.  This requirement would apply to all Flint employees whether regular or temporary.  This solution was chosen because all Flint employees use employee self service but many do not use the other systems behind Access and Compliance so are not subject to the annual renewal.,Open/Approved,86,3/31/2017,Green,"King,Earnest",ITS,"Bermann,Sol"
PCI Compliant Infrastructure,"The Payment Card Industry Data Security Standard (PCI DSS) is a proprietary information security standard for organizations that handle cardholder information for the major debit, credit, prepaid, e-purse, ATM, and POS cards. The PCI standards council has updated security requirements (aka version 3). MiWorkspace and PCI v3, has driven need to develop an operational program. We are looking to start a project to create a PCI Compliance Operational Program.",Open/Approved,93,4/14/2017,Yellow,"Meister,Michael",All Units,"Bermann,Sol"
EIAM: Uniqname Reevaluation & Recommendation,"The uniqname solution was ahead of its time when originally developed 20+ years ago, but now it is starting to present limitations - we are running out of combinations as uniqnames are limited to eight alpha characters. Many U-M systems now rely on eight characters and a change to that approach may have significant impact. As part of the impact analysis we will talk to all the units, document the impacts and develop a plan for addressing current challenges.",Open/Approved,3,6/29/2018,Green,"Sytch,Svetla",ITS,"Bermann,Sol"
Security Operations Center (SOC) Project,"The Security Operations Center (SOC) project will enable an IIA security operations function that reacts to events and then proactively follows up to find evidence of intrusions.  Project will focus on development and implementation of processes, practices, and runbook for this function.  Staffing will be absorbed within IIA and will be dependent on the availability of Next Generation Security Architecture (NGSA) components procured and implemented through phases 1 & 2 of the NGSA project though this project can proceed when NGSA phase 1 related technologies have been procured and implemented.",Open/Approved,38,6/30/2017,Yellow,"Stathes,Gregory",ITS,"Bermann,Sol"
Service Portfolio Re-Evaluation,"ITS needs a documented portfolio that can be used to make actionable decisions and provide information about our services from a variety of perspectives (including financial and maturity of service). This information can immediately be used for proposing service changes including stopping and retiring. 

This proposal is for a project to re-evaluate the current portfolio and create a target ITS portfolio that addresses this need. The target portfolio will enable us to make sound decisions based on up-to-date and accurate information.",Open/Approved,6,5/26/2017,Green,"Curley,Cathy",ITS,"Curley,Cathy"
IT Bicentennial Project,"This project is based off of the Bicentennial Grant Program request and is in support of the U-M Bicentennial work for 2017.  

The primary goal of the project is to foster an appreciation and deeper understanding of how technology was pioneered and shaped at U-M by researchers, students, faculty, and staff. The project will explore and contribute to the Bicentennial theme of Creating & Inventing.

Additionally, the project will: 
Create a sense of community by inviting those with firsthand experience creating, inventing, and using technology to share their story.
Recall memories, shaping a sense of nostalgia for alumni and retirees. 
Cultivate a sense of inclusion and pride in U-M technology.
Educate the next generation about the influence U-M has had on the global technological landscape and inspire future homegrown innovations.
",Open/Approved,70,8/31/2017,Green,"Turner,Darcy Lynn",All Units,"Curley,Cathy"
Unizin Snapshot Pilot,The latest service offering available through U of M's participation in the Unizin consortium is an analytics dashboard called Snapshot. This dashboard provides insights into student performance by visualizing Canvas LMS  leaning interactions. This effort would evaluate and pilot the Snapshot service to inform future develop and possible implementation of the tools.,Open/Approved,50,4/24/2017,Green,"Johnston,John P",All Units,"Demonner,Sean Michael"
TL - Unizin U-M LMS Implementation (Canvas),"Unizin will offer several services to consortium members, the first of which is the Canvas learning management system (LMS). The university is moving to the next generation of CTools and will pilot Canvas to determine if it is the right solution.  This project will configure and pilot an instance of Canvas.  Pilot participant feedback and level of success is a key factor in determining how the university implements and sets policies around a new LMS, as well as the overall migration strategy and timing.",Open/Approved,98,6/30/2017,Green,"Swaney,Jennifer",All Units,"Demonner,Sean Michael"
U-M Box Groups,Create a new user object type in MCommunity used for M+Google and M+Box shared accounts to enable better lifecycle management for these collections of University data. Create Box accounts when users get uniqnames.,Open/Approved,85,3/31/2017,Green,"Thomas,Katarina Kt",ITS,"Demonner,Sean Michael"
TL - Canvas Course Manager 3.0,This effort will extend the functionality of the Canvas Course Manger to include: 1) The ability to bulk add enrollments to ad hoc sections; 2) a user-facing interface for the groups-based-on-sections script recently piloted; and optionally 3) bulk add Friend Accounts to Canvas courses.,Open/Approved,22,6/30/2017,Green,"Kraft,Melinda",All Units,"Demonner,Sean Michael"
Ctools database upgrade to Exadata,The CTools database is currently 11g. The service package will expire at the end of May. It needs to be upgraded to 12g.,Open/Approved,13,5/31/2017,Green,"Qian,Zhen",ITS,"Demonner,Sean Michael"
TL - CPM CTools Proj Sites Migration,Determine existing solutions for the future of Project Sites & Grad Tools outside of CTools. Migrate users off of the current CTools Project Sites into new existing solutions and make Project Sites Read Only.,Open/Approved,63,4/16/2018,Yellow,"Jacobson,Kimberly",All Units,"Demonner,Sean Michael"
Student Explorer Transition,Transition Student Explorer from Academic Innovation to Teaching & Learning,Open/Approved,22,4/28/2017,Green,"Burgess,Daniel",All Units,"Demonner,Sean Michael"
TL - Apereo OpenLRS Caliper Service,"Develop, maintain and extend Caliper service modules for receiving and processing Caliper-compliant serialized learning event data.  OpenLRS is currently used in production as a learning event data store for CAEN Lecture Capture and Problem Roulette. We expect more data sources in the future",Open/Approved,19,6/9/2017,Green,"Whyte,Anthony",ITS,"Demonner,Sean Michael"
TL - IMS Caliper 1.1 core development (Phase I),"Continue active engagement in core development activities aimed at enriching and extending the IMS Global Caliper Analytics specification.  Work involves information modeling, API improvements, Sensor code library extensions/refactoring (involving several language bindings: Java, Java script, Ruby, PHP, Python), functional, integration and conformance testing enhancements and not least, documentation writing.  The work is performed by a distributed team drawn from IMS Member organizations including the University of Michigan.   Phase I involves alpha/beta/release candidate development.  Phase II covers IMS Member review, acceptance and public release.  A phase II project request will be submitted during the late fall of 2015 for execution between Jan-May 2016.   ",Open/Approved,83,6/30/2017,Green,"Whyte,Anthony",ITS,"Demonner,Sean Michael"
TL - Mapping App Proof of Concept,"Mobile based apps utilizing Global Information Systems (GIS) technologies are coming into greater demand, for research, teaching and learning and myriad other applications.  The ability to quickly deliver such applications, based on current platforms, is essential for our software development teams to continue to serve our users.  This project will be used as a means of expanding our in-house development expertise in this area.  The app will also serve as a proof-of-concept piece which can demonstrate what type of applications are possible.  The app to be developed will expand on the work done at a recent hacks event, to create a mobile app which allows users to quickly and easily locate each other and get together for a meeting.  ",Open/Approved,92,5/31/2017,Yellow,"Diehl,John",ITS,"Demonner,Sean Michael"
Bicentennial Mapping App,"ITS and Facilities would like to collaborate on the development on an application using Geographic Information Systems (GIS) technologies.  The app currently envisioned will support B&F engagement with the Summer 2017 Bicentennial Celebration. The project will also us to develop a broader understanding of the applicability of GIS based systems for teaching & learning.  Application functionality may include some or all of the following:

. Development of a web-based activity that could be experienced by both U-M authenticated and non-authenticated users (i.e. the general public)
. Historical information that could be tied to specific geographic locations on campus
. Emphasizing the employee satisfaction and line-of-sight value that might be derived by allowing staff to have an emotional connection to the core mission of the institution.
. Adding gameful elements to the experience including narrative, role-based play, progress indicators, quests, leader boards, etc.
. Adding social elements (e.g. Sharing, Liking, Starring, Groups, Commenting, etc.)
. Allowing end-users to create content in addition to just consuming it
. The ability to engage with the experience either in situ (i.e. walking around campus with a portable device) or remotely via a standard PC/web browser.
",Open/Approved,5,7/10/2017,Green,"Diehl,John",ITS,"Demonner,Sean Michael"
Legacy: CTools Placement Exams Migration,This project will migrate existing CTools Placement Exams into Canvas to allow for the retirement of CTools.,Open/Approved,31,12/22/2017,Green,"Crouch,Catherine M",ITS,"Demonner,Sean Michael"
Billing Assessment & RFI Project (Phase 1),"The purpose of this project will be to implement a new billing process(es).  As part of this project, there will also be an end-to-end review of the associated administrative processes.",Open/Approved,30,4/3/2017,Green,"Allen,Mashon",ITS,"Jones,Diane"
FY1613: Increase MiServer Availability/Resiliency,"Miserver currently has 99.7% availability based on Data Center availability and a manual Disaster Recovery (DR) process. This could lead to as much as 1d 2h 17m of downtime per year. The manual nature of the DR process also means that testing is a very time consuming process that is almost impossible to test in its entirety.

MiServer Disaster Recovery could be engineered and automated to fail to another university owned data center or Cloud Provider. This would allow us to vacate the Data Center with very little to no down time prior to  Data Center Maintenance drastically reducing down time. This would also have the same affect on downtime for Non-planned outages of the primary Data Center. In addition it could provide a mechanism for easily testing our DR capability on a regular basis.",Open/Approved,55,6/30/2017,Green,"Lubomirski,Joseph E",ITS,"Palms,Andrew T"
PCI Service Development Project,"This project will expand upon the results of the FY16 PCI project that enabled PCI-DSS compliance of ITS provided services.  During the course of the FY16 project ITS leadership determined that a separate PCI service was needed to provide service support for ITS PCI customers rather than enable PCI compliance within existing services.  Will define service ownership, ongoing support, cost recovery requirements and billing methodology, and request and implementation processes.  ",Open/Approved,45,4/28/2017,Green,"Thomas,Katarina Kt",ITS,"Palms,Andrew T"
Electronic Signature Implementation,Implement a central electronic signature solution for campus.,Open/Approved,4,8/3/2018,Green,"Sabourin,Robert",ITS,"Palms,Andrew T"
Red Hat Enterprise Linux 5 End of Life,"Red Hat Enterprise Linux 5 will be at end of life in 2 years. It will no longer be supported as of March 31, 2017.  Extended support is available but at additional cost but very few security updates will be provided.  The purpose of this project is to migrate off of RHEL5.    ",Open/Approved,3,3/17/2017,Green,"Bullerman,Janet",ITS,"Palms,Andrew T"
Foundational Services integration with AWS,"We are wrapping up the Operationalize AWS project that was intended to familiarize ITS ISO with the AWS platform. This project would build on what was learned. Starting with ISO we would do an inventory/analysis of applications and services. The goal would be to identify which ones would provide the biggest benefit to ITS and campus if they were moved, or made redundant with AWS services. The effort would identify some number of these to integrate with AWS, while trying to create a template/process for future integration of applications. This will greatly improve our understanding of AWS and allow us to move more quickly in the future when Cloud infrastructure is the best option. This project will also allow us to document and reuse criteria for identifying which applications are best fit for on, or off site cloud services.",Open/Approved,77,3/7/2017,Green,"Chapman,Mandie M",ITS,"Palms,Andrew T"
Campus Wide WiFi Upgrade,"Students, faculty, staff, and administrators agree that current WiFi networks are inconsistent and insufficient to meet the demands of an increasingly mobile and collaborative learning environment.

The University of Michigan IT Executive Council has been asked to consider an additional $24.4 million WiFi Network upgrade project including 275 academic, research, administrative and residence hall buildings on the Ann Arbor campus. This effort continues progress to provide consistent coverage in facilities where the majority of teaching, learning, research, and work occurs across campus.

The 275 buildings that have been recommended by ITS for upgrades to their WiFi netowrks are listed in priority order. The actual order that buildings are upgraded, however, has to do with many factors such as when the building is available for construction activity and when the building may be undergoing renovations. Each building is subject to final CIO and Provost office approval when a more detailed building evaluation and construction cost estimate is completed.

In answer to this concern, the University of Michigan Provost has approved three capital investment projects. These projects are to provide one-time funding for WiFi network upgrades. This effort will establish pervasive connectivity in libraries, public-facing university buildings, residence halls and academic spaces critical to our student services and academic missions.

Campus WiFi Upgrade Projects are significant initiatives designed to bring the network to a consistent standard of coverage, capacity, and capability. Achieving these standards will permit our students, faculty, and staff to teach, learn, and work anytime and anywhere in these facilities. Upgrades will also deliver a consistently positive WiFi experience for our prospective students, parents, alumni, and guests.

Not included in these projects are funding to improve networks in the University of Michigan Health System, U-M Dearborn, and U-M Flint campuses.Improved user experience;
Consistent coverage provided;
Improved reliability;
Increased capacity with more access points and more spectrum;
Device location information to enable future applications provided;
Service based on factors such as the user, the device, the location of the device or the service being used provided; and
Improved the ability to diagnose user access issues
In total, this project will affect 458 buildings in Ann Arbor, 171 of which are classroom, research or administrative buildings. The remainder are housing (253) and athletics (34). The secondary proposal is to provide on-going funding to ITS to upgrade the Wi-Fi electronics every five years.",Open/Approved,99,8/2/2018,Green,"Vimawala,Alok",All Units,"Palms,Andrew T"
Cellular Coverage Analysis (MCoverage),"The University's decision to discontinue use of Extenet as an intermediary for distributed networks for use by wireless carriers has raised the priority of this work. This project will help us assess the cellular coverage for each carrier on our campus.  That information is critical as we decide on a path forward.  We can hire an outside company to provide us that information on a one time basis for $200K.  This project, however, can provide us that information on an on-going basis while also benefiting one of our faculty.",Open/Approved,100,4/25/2017,Green,"cors,brian",OVP Research,"Palms,Andrew T"
Upgrade Pinnacle to v6.7,Upgrade Pinnacle system from 6.4.3 to 6.7.2 to maintain vendor support and to provide enhancements/fixes for CSDC business processing.,Open/Approved,28,11/30/2017,Green,"Sager,Martin",ITS,"Palms,Andrew T"
DIG - Implement Container Platform,"The focus of the DIG (Digital Innovation Greenhouse) - Pilot Container Service project (aka Platform as a Service) was to examine the landscape of management tiers, recommend one, and begin to support DIG applications on the recommended software.  Red Hat's Open Shift has been recommended to ISO management.  This new request is to implement OpenShift, and hand off to the DevOps team.",Open/Approved,76,7/17/2017,Green,"Kretler,Chris",ITS,"Palms,Andrew T"
